locadora,modelo,categoria,pintura,desconto_pct,prazo_meses,franquia_km,pmt_final,pmt_sem_qap,km_excedente
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,12,500,3120.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,12,750,3150.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,12,1000,3222.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,12,1250,3252.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,12,1500,3272.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,12,2000,3478.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,12,2500,3631.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,12,3000,3837.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,12,3500,3990.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,12,4000,4093.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,12,4500,4144.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,18,500,2710.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,18,750,2739.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,18,1000,2761.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,18,1250,2894.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,18,1500,2916.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,18,2000,3068.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,18,2500,3221.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,18,3000,3377.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,18,3500,3530.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,18,4000,3581.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,18,4500,3682.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,24,500,2556.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,24,750,2587.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,24,1000,2608.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,24,1250,2669.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,24,1500,2709.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,24,2000,2915.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,24,2500,3017.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,24,3000,3169.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,24,3500,3272.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,24,4000,3426.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,24,4500,3478.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,36,500,2352.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,36,750,2402.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,36,1000,2453.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,36,1250,2535.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,36,1500,2557.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,36,2000,2710.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,36,2500,2812.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,36,3000,2916.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,36,3500,,,
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,36,4000,,,
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,36,4500,,,
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,48,500,2301.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,48,750,2383.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,48,1000,2404.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,48,1250,2486.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,48,1500,2505.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,48,2000,2609.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,48,2500,2710.00,,0.89
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,48,3000,,,
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,48,3500,,,
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,48,4000,,,
localiza,TERA 12V FLEX 1.0,Suv,Solida,13,48,4500,,,
